;ESTU_TIPODOCUMENTO;ESTU_NACIONALIDAD;ESTU_GENERO;ESTU_FECHANACIMIENTO;PERIODO;ESTU_CONSECUTIVO;ESTU_ESTUDIANTE;ESTU_PAIS_RESIDE;ESTU_TIENEETNIA;ESTU_DEPTO_RESIDE;ESTU_COD_RESIDE_DEPTO;ESTU_MCPIO_RESIDE;ESTU_COD_RESIDE_MCPIO;FAMI_ESTRATOVIVIENDA;FAMI_PERSONASHOGAR;FAMI_CUARTOSHOGAR;FAMI_EDUCACIONPADRE;FAMI_EDUCACIONMADRE;FAMI_TRABAJOLABORPADRE;FAMI_TRABAJOLABORMADRE;FAMI_TIENEINTERNET;FAMI_TIENECOMPUTADOR;FAMI_TIENELAVADORA;FAMI_TIENEHORNOMICROOGAS;FAMI_TIENESERVICIOTV;FAMI_TIENEAUTOMOVIL;FAMI_TIENEMOTOCICLETA;FAMI_TIENECONSOLAVIDEOJUEGOS;FAMI_NUMLIBROS;FAMI_COMELECHEDERIVADOS;FAMI_COMECARNEPESCADOHUEVO;FAMI_COMECEREALFRUTOSLEGUMBRE;FAMI_SITUACIONECONOMICA;ESTU_DEDICACIONLECTURADIARIA;ESTU_DEDICACIONINTERNET;ESTU_HORASSEMANATRABAJA;ESTU_TIPOREMUNERACION;COLE_CODIGO_ICFES;COLE_COD_DANE_ESTABLECIMIENTO;COLE_NOMBRE_ESTABLECIMIENTO;COLE_GENERO;COLE_NATURALEZA;COLE_CALENDARIO;COLE_BILINGUE;COLE_CARACTER;COLE_COD_DANE_SEDE;COLE_NOMBRE_SEDE;COLE_SEDE_PRINCIPAL;COLE_AREA_UBICACION;COLE_JORNADA;COLE_COD_MCPIO_UBICACION;COLE_MCPIO_UBICACION;COLE_COD_DEPTO_UBICACION;COLE_DEPTO_UBICACION;ESTU_PRIVADO_LIBERTAD;ESTU_COD_MCPIO_PRESENTACION;ESTU_MCPIO_PRESENTACION;ESTU_DEPTO_PRESENTACION;ESTU_COD_DEPTO_PRESENTACION;PUNT_LECTURA_CRITICA;PERCENTIL_LECTURA_CRITICA;DESEMP_LECTURA_CRITICA;PUNT_MATEMATICAS;PERCENTIL_MATEMATICAS;DESEMP_MATEMATICAS;PUNT_C_NATURALES;PERCENTIL_C_NATURALES;DESEMP_C_NATURALES;PUNT_SOCIALES_CIUDADANAS;PERCENTIL_SOCIALES_CIUDADANAS;DESEMP_SOCIALES_CIUDADANAS;PUNT_INGLES;PERCENTIL_INGLES;DESEMP_INGLES;PUNT_GLOBAL;PERCENTIL_ESPECIAL_GLOBAL;PERCENTIL_GLOBAL;ESTU_ESTADOINVESTIGACION
2773;TI;COLOMBIA;F;29/11/2003;20211;SB11202110003663;ESTUDIANTE;COLOMBIA;No;VALLE;76.0;CALI;76001.0;Estrato  4;3  a  4;Cuatro;Educación  profesional  incompleta;Educación  profesional  completa;Tiene  un  trabajo  de  tipo  auxiliar  administrativo  (por  ejemplo,  secretario  o  asistente);Es  vendedor  o  trabaja  en  atención  al  público;Si;Si;Si;Si;Si;No;No;No;26  A  100  LIBROS;;Todos  o  casi  todos  los  días;Todos  o  casi  todos  los  días;Igual;No  leo  por  entretenimiento;Más  de  3  horas;0;No;178202;376364002475;ALAS  COLEGIO;MIXTO;NO  OFICIAL;B;;ACADÉMICO;376364002475;ALAS  COLEGIO    -  SEDE  PRINCIPAL;S;URBANO;COMPLETA;76364;JAMUNDÍ;76;VALLE;N;76001;CALI;VALLE;76;69;75;4;58;37;3;58;46;3;69;79;3;70.0;48.0;B1;320;;58.0;PUBLICAR
14272;TI;COLOMBIA;M;04/08/2004;20211;SB11202110038327;ESTUDIANTE;COLOMBIA;No;VALLE;76.0;CALI;76001.0;;;;;;;;;;;;;;;;;;;;;;;;;17293;376001003461;COLEGIO  SAN  ANTONIO  MARIA  CLARET;MIXTO;NO  OFICIAL;B;N;ACADÉMICO;376001003461;COLEGIO  SAN  ANTONIO  MARIA  CLARET;S;URBANO;MAÑANA;76001;CALI;76;VALLE;N;76001;CALI;VALLE;76;68;71;4;70;73;3;62;63;3;58;44;3;73.0;52.0;B1;326;;62.0;PUBLICAR
10533;TI;COLOMBIA;M;11/05/2004;20211;SB11202110028314;ESTUDIANTE;COLOMBIA;No;VALLE;76.0;CALI;76001.0;Estrato  3;3  a  4;Tres;Técnica  o  tecnológica  completa;Técnica  o  tecnológica  completa;Es  vendedor  o  trabaja  en  atención  al  público;Trabaja  en  el  hogar,  no  trabaja  o  estudia;Si;Si;Si;No;Si;No;Si;No;26  A  100  LIBROS;1  o  2  veces  por  semana;Todos  o  casi  todos  los  días;3  a  5  veces  por  semana;Igual;Entre  30  y  60  minutos;Entre  1  y  3  horas;0;No;46441;376001000888;COLEGIO  PARROQUIAL  SAN  PEDRO  CLAVER;MIXTO;NO  OFICIAL;B;N;TÉCNICO;376001000888;COLEGIO  PARROQUIAL  SAN  PEDRO  CLAVER;S;URBANO;MAÑANA;76001;CALI;76;VALLE;N;76001;CALI;VALLE;76;58;32;3;49;19;2;55;37;2;45;17;2;54.0;23.0;A1;260;;24.0;PUBLICAR
5693;TI;COLOMBIA;M;10/09/2004;20211;SB11202110020363;ESTUDIANTE;COLOMBIA;No;VALLE;76.0;CALI;76001.0;Estrato  1;5  a  6;Seis  o  mas;Primaria  incompleta;Secundaria  (Bachillerato)  incompleta;Es  dueño  de  un  negocio  pequeño  (tiene  pocos  empleados  o  no  tiene,  por  ejemplo  tienda,  papelería,  etc;Trabaja  en  el  hogar,  no  trabaja  o  estudia;Si;Si;Si;Si;No;Si;Si;No;0  A  10  LIBROS;1  o  2  veces  por  semana;1  o  2  veces  por  semana;3  a  5  veces  por  semana;Igual;No  leo  por  entretenimiento;No  Navega  Internet;Entre  11  y  20  horas;Si,  en  especie;17228;376001000314;COLEGIO  PARROQIAL  SANTIAGO  APOSTOL;MIXTO;NO  OFICIAL;B;N;TÉCNICO/ACADÉMICO;376001000314;COLEGIO  PARROQIAL  SANTIAGO  APOSTOL;S;URBANO;MAÑANA;76001;CALI;76;VALLE;N;76001;CALI;VALLE;76;44;8;2;44;11;2;35;3;1;42;13;2;42.0;8.0;A-;207;;7.0;PUBLICAR
1751;TI;COLOMBIA;F;24/08/2004;20211;SB11202110011941;ESTUDIANTE;COLOMBIA;No;VALLE;76.0;CALI;76001.0;Estrato  4;3  a  4;Dos;Educación  profesional  completa;Educación  profesional  completa;Trabaja  como  profesional  (por  ejemplo  médico,  abogado,  ingeniero);Trabaja  como  profesional  (por  ejemplo  médico,  abogado,  ingeniero);Si;Si;Si;Si;Si;Si;No;Si;26  A  100  LIBROS;Todos  o  casi  todos  los  días;Todos  o  casi  todos  los  días;Todos  o  casi  todos  los  días;Igual;Entre  1  y  2  horas;Más  de  3  horas;0;No;729954;376001000519;COLEGIO  DE  LA  SAGRADA  FAMILIA;FEMENINO;NO  OFICIAL;B;N;ACADÉMICO;376001000519;COL  DE  LA  SAGRADA  FAMILIA;S;URBANO;COMPLETA;76001;CALI;76;VALLE;N;76001;CALI;VALLE;76;71;82;4;67;64;3;62;61;3;73;90;4;83.0;79.0;B+;347;;77.0;PUBLICAR
3114;TI;COLOMBIA;F;20/04/2004;20211;SB11202110007944;ESTUDIANTE;COLOMBIA;No;VALLE;76.0;CALI;76001.0;Estrato  4;3  a  4;Dos;Educación  profesional  incompleta;Secundaria  (Bachillerato)  completa;Trabaja  en  el  hogar,  no  trabaja  o  estudia;Trabaja  en  el  hogar,  no  trabaja  o  estudia;Si;Si;Si;Si;Si;Si;No;No;11  A  25  LIBROS;1  o  2  veces  por  semana;3  a  5  veces  por  semana;Todos  o  casi  todos  los  días;Igual;Entre  1  y  2  horas;Entre  1  y  3  horas;0;No;16691;376001001116;COLEGIO  AMERICANO;MIXTO;NO  OFICIAL;B;N;ACADÉMICO;376001001116;COLEGIO  AMERICANO;S;URBANO;COMPLETA;76001;CALI;76;VALLE;N;76001;CALI;VALLE;76;70;78;4;64;57;3;65;72;3;71;84;4;80.0;71.0;B+;342;;73.0;PUBLICAR
9111;TI;COLOMBIA;M;28/07/2003;20211;SB11202110013195;ESTUDIANTE;COLOMBIA;No;VALLE;76.0;CARTAGO;76147.0;;5  a  6;Cinco;;;Es  operario  de  máquinas  o  conduce  vehículos  (taxita,  chofer);Pensionado;;No;Si;Si;;No;Si;Si;;;;;Igual;;;0;No;636563;376147000049;INSTITUCIÓN  EDUCATIVA  SAN  PEDRO  CLAVER;MIXTO;NO  OFICIAL;B;;NO  APLICA;376147000049;INSTITUCIÓN  EDUCATIVA  SAN  PEDRO  CLAVER;S;URBANO;MAÑANA;76147;CARTAGO;76;VALLE;N;76147;CARTAGO;VALLE;76;56;28;3;58;37;3;50;24;2;53;34;2;53.0;21.0;A1;271;;29.0;PUBLICAR
11934;TI;COLOMBIA;M;25/05/2003;20211;SB11202110015953;ESTUDIANTE;COLOMBIA;No;VALLE;76.0;CALI;76001.0;Estrato  4;3  a  4;Dos;Técnica  o  tecnológica  completa;Técnica  o  tecnológica  completa;Trabaja  como  profesional  (por  ejemplo  médico,  abogado,  ingeniero);Trabaja  como  profesional  (por  ejemplo  médico,  abogado,  ingeniero);Si;Si;Si;Si;Si;Si;No;Si;0  A  10  LIBROS;Todos  o  casi  todos  los  días;Todos  o  casi  todos  los  días;Todos  o  casi  todos  los  días;Igual;No  leo  por  entretenimiento;Entre  1  y  3  horas;;;58719;376001016334;COLEGIO  INGLES  DE  LOS  ANDES;MIXTO;NO  OFICIAL;B;S;ACADÉMICO;376001016334;COLEGIO  INGLES  DE  LOS  ANDES;S;URBANO;COMPLETA;76001;CALI;76;VALLE;N;76001;CALI;VALLE;76;56;28;3;59;40;3;60;53;3;69;80;3;75.0;57.0;B1;310;;51.0;PUBLICAR
9450;CC;COLOMBIA;M;26/12/2002;20211;SB11202110019280;ESTUDIANTE;COLOMBIA;No;ATLANTICO;8.0;BARRANQUILLA;8001.0;Estrato  6;3  a  4;Tres;Postgrado;Postgrado;Trabaja  como  profesional  (por  ejemplo  médico,  abogado,  ingeniero);Trabaja  como  profesional  (por  ejemplo  médico,  abogado,  ingeniero);Si;Si;Si;Si;Si;Si;No;Si;26  A  100  LIBROS;Todos  o  casi  todos  los  días;Todos  o  casi  todos  los  días;Todos  o  casi  todos  los  días;Igual;No  leo  por  entretenimiento;Más  de  3  horas;0;No;3046;308001000882;CORP  CULT  COL  ALEMAN;MIXTO;NO  OFICIAL;B;S;ACADÉMICO;308001000882;CORP  CULT  COL  ALEMAN;S;URBANO;COMPLETA;8001;BARRANQUILLA;8;ATLANTICO;N;8001;BARRANQUILLA;ATLANTICO;8;71;82;4;81;97;4;73;94;4;76;95;4;88.0;94.0;B+;381;;95.0;PUBLICAR
4735;TI;COLOMBIA;F;20/01/2005;20211;SB11202110030011;ESTUDIANTE;COLOMBIA;No;VALLE;76.0;CALI;76001.0;Estrato  3;3  a  4;Dos;Secundaria  (Bachillerato)  completa;Secundaria  (Bachillerato)  completa;Trabaja  por  cuenta  propia  (por  ejemplo  plomero,  electricista);Tiene  un  trabajo  de  tipo  auxiliar  administrativo  (por  ejemplo,  secretario  o  asistente);Si;Si;Si;Si;Si;No;Si;No;11  A  25  LIBROS;3  a  5  veces  por  semana;Todos  o  casi  todos  los  días;Todos  o  casi  todos  los  días;Peor;30  minutos  o  menos;Más  de  3  horas;0;No;95786;376001013203;COLEGIO  PARROQUIAL  NUESTRA  SEÑORA  DE  GUADALUPE;MIXTO;NO  OFICIAL;B;N;TÉCNICO;376001013203;COLEGIO  PARROQUIAL  NUESTRA  SEÑORA  DE  GUADALUPE;S;URBANO;MAÑANA;76001;CALI;76;VALLE;N;76001;CALI;VALLE;76;54;24;3;51;22;3;55;39;2;42;14;2;47.0;14.0;A-;251;;20.0;PUBLICAR
